student_name,gender,grade,school_name,type,reading_score,math_score
Mr. Devin Browning,M,9th,Lopez High School,District,80,70
John Hendrix,M,10th,Lopez High School,District,63,87
Chelsea Kim,F,12th,Lopez High School,District,63,70
Jillian Hunt,F,11th,Lopez High School,District,87,98
Richard Hudson,M,9th,Lopez High School,District,92,65
Robert Crawford,M,11th,Lopez High School,District,97,74
David Williams,M,10th,Lopez High School,District,63,85
Matthew Martin,M,12th,Lopez High School,District,56,87
Lawrence Wiley,M,11th,Lopez High School,District,93,81
Brian Cummings,M,10th,Lopez High School,District,64,65
Lindsey Gonzalez,F,9th,Lopez High School,District,90,79
Daniel Rice,M,11th,Lopez High School,District,66,77
Matthew Miller,M,11th,Lopez High School,District,77,93
Julia Shaw,F,11th,Lopez High School,District,84,92
Jonathan Cabrera,M,12th,Lopez High School,District,61,81
Brian Morrow,M,9th,Lopez High School,District,72,75
Crystal Long DDS,F,11th,Lopez High School,District,61,92
Jonathan Juarez,M,12th,Lopez High School,District,76,67
Paul Jones,M,10th,Lopez High School,District,65,94
Steven Wells,M,11th,Lopez High School,District,99,82
Sharon Weiss,F,9th,Lopez High School,District,97,80
Christopher Alvarez,M,10th,Lopez High School,District,81,77
Jacob Gonzalez,M,10th,Lopez High School,District,95,68
Loretta Simmons,F,10th,Lopez High School,District,89,69
Ryan Mccormick,M,9th,Lopez High School,District,75,68
Theresa Cole,F,11th,Lopez High School,District,78,71
Tristan Nguyen,M,11th,Lopez High School,District,79,73
Adam Carroll,M,10th,Lopez High School,District,69,84
Sierra Clark,F,11th,Lopez High School,District,88,88
Cassidy Kennedy,F,9th,Lopez High School,District,61,95
Kelly Mccormick,F,10th,Lopez High School,District,64,93
Timothy Anderson,M,9th,Lopez High School,District,60,90
Mike Evans,M,10th,Lopez High School,District,58,73
Valerie Green,F,10th,Lopez High School,District,76,92
Jamie Nichols,F,9th,Lopez High School,District,72,96
Mr. Roger Smith,M,11th,Lopez High School,District,66,93
Donna Scott,F,10th,Lopez High School,District,99,72
Kenneth Grant,M,11th,Lopez High School,District,91,72
Nicholas Patterson,M,12th,Lopez High School,District,96,81
Bryan Mack,M,12th,Lopez High School,District,87,75
Michele White,F,11th,Lopez High School,District,76,88
Eddie Roberts,M,12th,Lopez High School,District,60,76
Dustin Flowers,M,9th,Lopez High School,District,73,75
Rodney Bautista,M,12th,Lopez High School,District,85,95
Anthony Roberts,M,11th,Lopez High School,District,68,86
Thomas Woodward,M,10th,Lopez High School,District,77,88
April Pitts,F,9th,Lopez High School,District,74,90
Mark Johnson,M,11th,Lopez High School,District,89,93
Sylvia Vargas,F,12th,Lopez High School,District,95,87
Brittany Daniel,F,12th,Lopez High School,District,83,97
Christina Jones MD,F,10th,Lopez High School,District,92,83
Matthew Adams,M,10th,Lopez High School,District,66,96
Alex Collins,M,11th,Lopez High School,District,62,94
Thomas Wilson,M,9th,Lopez High School,District,58,74
Christina Knight,F,11th,Lopez High School,District,66,79
Christina Vega,F,11th,Lopez High School,District,62,77
Gloria Gonzalez,F,12th,Lopez High School,District,70,75
Patrick Turner,M,12th,Lopez High School,District,86,64
Desiree Griffin,F,11th,Lopez High School,District,88,68
Seth Carey DVM,M,10th,Lopez High School,District,62,78
Lynn Benson,F,12th,Lopez High School,District,93,95
Erica Henderson,F,10th,Lopez High School,District,94,94
Joseph Hanson,M,12th,Lopez High School,District,94,66
Rodney Allen,M,10th,Lopez High School,District,94,97
Carolyn Smith,F,11th,Lopez High School,District,96,79
David Rivera,M,11th,Lopez High School,District,58,77
Courtney Owens,F,10th,Lopez High School,District,73,82
Elizabeth Little,F,12th,Lopez High School,District,74,86
Kristen Jefferson,F,10th,Lopez High School,District,79,87
Bobby Schneider,M,9th,Lopez High School,District,72,65
Michael Chapman,M,11th,Lopez High School,District,67,81
Barry Rodriguez,M,12th,Lopez High School,District,66,78
Samantha Torres,F,10th,Lopez High School,District,93,76
Valerie Mccoy,F,11th,Lopez High School,District,78,70
Amy Brooks,F,11th,Lopez High School,District,79,90
Erica Chavez,F,12th,Lopez High School,District,61,93
Jesse Hill,M,9th,Lopez High School,District,65,77
Sydney Thomas,F,9th,Lopez High School,District,65,88
Brandon Maldonado,M,12th,Lopez High School,District,69,91
Mariah Murphy,F,9th,Lopez High School,District,76,65
Kevin Kelly,M,11th,Lopez High School,District,63,75
John Sandoval,M,9th,Lopez High School,District,84,78
Michael Harris,M,11th,Lopez High School,District,58,70
Randy Smith,M,10th,Lopez High School,District,86,72
Jacob Cox,M,11th,Lopez High School,District,80,79
Melissa Henson,F,10th,Lopez High School,District,55,92
Robert Garrett,M,10th,Lopez High School,District,61,79
Nicholas Herrera,M,11th,Lopez High School,District,67,92
Vernon Franklin,M,9th,Lopez High School,District,63,74
Holly Griffin,F,12th,Lopez High School,District,58,92
Jamie White,M,12th,Lopez High School,District,69,81
Frank Hudson,M,11th,Lopez High School,District,55,97
Peter Taylor,M,12th,Lopez High School,District,92,97
Dr. Jermaine Brown,M,12th,Lopez High School,District,56,73
Austin Frazier,M,9th,Lopez High School,District,70,72
Edward Bentley,M,12th,Lopez High School,District,57,92
Michael Odonnell,M,10th,Lopez High School,District,58,77
Michelle Griffin,F,12th,Lopez High School,District,56,79
Kimberly Griffin,F,9th,Lopez High School,District,96,65
Jennifer Shaffer,F,9th,Lopez High School,District,89,72
Phillip Hawkins,M,9th,Lopez High School,District,56,96
Cheryl Adkins,F,11th,Lopez High School,District,74,97
Andrew Gonzales,M,9th,Lopez High School,District,83,93
Jennifer Murillo,F,9th,Lopez High School,District,75,78
Scott Welch,M,12th,Lopez High School,District,57,75
Becky Nicholson,F,11th,Lopez High School,District,55,79
David Williams,M,11th,Lopez High School,District,87,77
Angel Davis,F,12th,Lopez High School,District,91,81
Christopher Robinson,M,12th,Lopez High School,District,66,72
Nicole Farrell,F,9th,Lopez High School,District,70,89
Martin Duran,M,10th,Lopez High School,District,74,67
Brittany Chavez,F,10th,Lopez High School,District,55,66
Roy Jefferson,M,9th,Lopez High School,District,71,96
Jerry Jacobs,M,9th,Lopez High School,District,93,65
Amy Mccann,F,10th,Lopez High School,District,61,65
Karla Reese,F,9th,Lopez High School,District,89,79
Jamie Cruz,F,9th,Lopez High School,District,82,81
Steven Barajas,M,11th,Lopez High School,District,91,71
Stephen Johnson,M,10th,Lopez High School,District,71,69
Janet Roberts,F,9th,Lopez High School,District,95,96
Debra Gould,F,12th,Lopez High School,District,67,92
Brandon Robinson,M,10th,Lopez High School,District,73,87
David Adams,M,9th,Lopez High School,District,88,79
William Bailey,M,12th,Lopez High School,District,82,89
Noah Terry,M,9th,Lopez High School,District,68,71
Linda Collins,F,12th,Lopez High School,District,97,81
Thomas Hernandez,M,12th,Lopez High School,District,78,82
Raymond Sanders,M,10th,Lopez High School,District,82,96
Jeffrey Gardner,M,9th,Lopez High School,District,60,88
Jeffery Watkins,M,12th,Lopez High School,District,95,87
Chelsea Farrell,F,11th,Lopez High School,District,78,74
Christopher White,M,11th,Lopez High School,District,70,80
Amy Hines,F,12th,Lopez High School,District,76,91
Ashley Vazquez,F,12th,Lopez High School,District,65,67
Ellen Stone,F,9th,Lopez High School,District,60,70
Michael Parker,M,12th,Lopez High School,District,77,99
William Carlson,M,11th,Lopez High School,District,72,98
Heather Fritz,F,11th,Lopez High School,District,77,73
Mark Reyes,M,12th,Lopez High School,District,72,68
Karen Wood,F,9th,Lopez High School,District,71,65
Michael Smith,M,9th,Lopez High School,District,70,95
Jesse Haynes,M,11th,Lopez High School,District,90,71
Dawn Robinson,F,10th,Lopez High School,District,65,81
Allison Perry,F,11th,Lopez High School,District,87,83
Ryan Walsh,M,10th,Lopez High School,District,64,82
David Garcia,M,11th,Lopez High School,District,57,95
Alexandra Lee,F,11th,Lopez High School,District,62,66
Felicia Huang,F,9th,Lopez High School,District,76,95
Todd Morris,M,11th,Lopez High School,District,97,66
Cindy Johnston,F,11th,Lopez High School,District,82,98
David Jones,M,9th,Lopez High School,District,96,85
Terri Spence,F,10th,Lopez High School,District,64,91
Mitchell Williams,M,12th,Lopez High School,District,99,85
Robin Greene,F,10th,Lopez High School,District,99,88
Laura Reyes,F,11th,Lopez High School,District,85,80
Leah Ortiz,F,9th,Lopez High School,District,69,91
Grace Orr,F,11th,Lopez High School,District,59,65
Casey Reynolds,M,12th,Lopez High School,District,68,89
Johnny Miller,M,12th,Lopez High School,District,59,92
Brittany Oliver,F,11th,Lopez High School,District,61,67
Alan Atkins,M,12th,Lopez High School,District,96,65
Lisa Schroeder,F,10th,Lopez High School,District,87,97
Eric Lee,M,12th,Lopez High School,District,62,74
Brian Owens,M,12th,Lopez High School,District,69,87
Joseph Hall,M,10th,Lopez High School,District,71,64
Stephen Wallace,M,9th,Lopez High School,District,71,88
Joseph Bright,M,11th,Lopez High School,District,96,85
Paul Smith,M,11th,Lopez High School,District,98,65
Michelle Dunlap,F,9th,Lopez High School,District,84,84
Jacob Burns,M,11th,Lopez High School,District,72,75
Alexander Mercado,M,9th,Lopez High School,District,91,66
Evan Potts,M,10th,Lopez High School,District,96,78
Robert Stewart,M,10th,Lopez High School,District,90,84
Brian Young,M,10th,Lopez High School,District,81,77
Javier Martin,M,12th,Lopez High School,District,55,82
Nathaniel Mccoy,M,10th,Lopez High School,District,66,82
Jonathan Rivera,M,10th,Lopez High School,District,95,81
Jimmy Martin,M,10th,Lopez High School,District,65,78
Brittany Lee,F,11th,Lopez High School,District,99,76
Phillip Parsons,M,10th,Lopez High School,District,92,75
Whitney Velasquez,F,12th,Lopez High School,District,59,69
Robert Crawford,M,12th,Lopez High School,District,57,94
Douglas Spencer,M,12th,Lopez High School,District,59,85
Kayla Smith,F,12th,Lopez High School,District,90,88
Mr. Jerry Hernandez,M,12th,Lopez High School,District,84,79
Kelly Wolfe,F,10th,Lopez High School,District,74,74
Alison Gonzalez,F,11th,Lopez High School,District,74,94
Kristen Frost,F,9th,Lopez High School,District,67,77
Megan Wilson,F,9th,Lopez High School,District,85,83
Tiffany Carlson,F,11th,Lopez High School,District,79,69
Barry Thompson,M,10th,Lopez High School,District,81,89
Mary Kramer,F,10th,Lopez High School,District,73,86
Megan Bryant,F,11th,Lopez High School,District,75,97
James Shaw,M,9th,Lopez High School,District,98,91
Karen Reid,F,11th,Lopez High School,District,97,80
Franklin Swanson,M,10th,Lopez High School,District,84,76
Kevin Parks,M,9th,Lopez High School,District,64,79
Jacob Jackson,M,10th,Lopez High School,District,90,88
Shawn Smith,M,10th,Lopez High School,District,72,67
Julie Thomas,F,11th,Lopez High School,District,64,80
Jennifer Ross,F,9th,Lopez High School,District,59,91
Kathy Jones,F,10th,Lopez High School,District,87,94
Laura Graham,F,10th,Lopez High School,District,73,83
David Lee,M,10th,Lopez High School,District,76,80
Brianna Harvey,F,10th,Lopez High School,District,82,85
Kayla Shah,F,9th,Lopez High School,District,65,86
Corey Steele,M,12th,Lopez High School,District,80,83
Samantha Lara,F,9th,Lopez High School,District,92,67
Lucas Gordon,M,9th,Lopez High School,District,55,98
Lindsay Rogers,F,11th,Lopez High School,District,90,72
John Adams,M,12th,Lopez High School,District,60,73
Christian Martin,M,9th,Lopez High School,District,92,70
Judith Hill,F,11th,Lopez High School,District,85,79
Alexa Bradshaw,F,12th,Lopez High School,District,66,89
Adrian Martin,M,11th,Lopez High School,District,60,66
Maria Miller,F,11th,Lopez High School,District,56,67
Eric Morrison,M,9th,Lopez High School,District,68,81
James Hood,M,10th,Lopez High School,District,66,80
William Obrien,M,10th,Lopez High School,District,67,87
Mrs. Janet Johnson MD,F,10th,Lopez High School,District,89,72
Shaun Orr,M,10th,Lopez High School,District,77,65
John Hanna,M,11th,Lopez High School,District,78,87
Melissa Romero,F,12th,Lopez High School,District,95,97
Maria Kim,F,9th,Lopez High School,District,81,66
Courtney Richardson,F,10th,Lopez High School,District,96,68
Melody Wong,F,9th,Lopez High School,District,76,96
Amanda Gallegos,F,9th,Lopez High School,District,58,89
Betty Chen,F,9th,Lopez High School,District,57,82
Mario Lee,M,12th,Lopez High School,District,55,99
Samantha King,F,12th,Lopez High School,District,88,92
Carol Bennett,F,12th,Lopez High School,District,80,68
April Smith,F,12th,Lopez High School,District,79,71
William Robertson,M,9th,Lopez High School,District,96,97
Theresa Fisher,F,10th,Lopez High School,District,94,73
Maria Peterson,F,11th,Lopez High School,District,75,77
Sarah Andrews,F,9th,Lopez High School,District,74,81
Paige Parker,F,9th,Lopez High School,District,70,80
Sarah Morton,F,12th,Lopez High School,District,92,99
Caitlin Huynh,F,11th,Lopez High School,District,95,90
Jennifer Green,F,9th,Lopez High School,District,60,98
Daniel Carter MD,M,11th,Lopez High School,District,86,84
Sabrina Howe,F,11th,Lopez High School,District,97,73
Catherine Stevens,F,9th,Lopez High School,District,70,91
Jacqueline Hernandez,F,10th,Lopez High School,District,67,71
Billy Russell,M,10th,Lopez High School,District,89,71
Marcus Donovan,M,12th,Lopez High School,District,90,96
Troy Weaver,M,12th,Lopez High School,District,57,77
James Caldwell,M,9th,Lopez High School,District,77,90
Kevin Williamson,M,12th,Lopez High School,District,89,87
Angela Callahan,F,12th,Lopez High School,District,85,96
Rebecca Murray,F,10th,Lopez High School,District,73,94
George Yang,M,9th,Lopez High School,District,59,96
Philip Mcclain,M,11th,Lopez High School,District,87,69
Roger King,M,11th,Lopez High School,District,92,88
Francisco Dominguez,M,11th,Lopez High School,District,96,80
Matthew Bryant,M,9th,Lopez High School,District,77,99
Thomas Foster,M,12th,Lopez High School,District,63,92
Richard Butler,M,11th,Lopez High School,District,93,69
Kimberly Price,F,9th,Lopez High School,District,56,77
Victoria Wilkins,F,10th,Lopez High School,District,67,84
Reginald Bryan,M,9th,Lopez High School,District,79,71
Jacob Carr,M,10th,Lopez High School,District,92,77
Amanda Grant,F,9th,Lopez High School,District,73,93
Troy Kaiser,M,9th,Lopez High School,District,61,82
Jordan Bailey,M,9th,Lopez High School,District,76,68
Donna Ayers,F,11th,Lopez High School,District,67,90
Cody Mayo,M,10th,Lopez High School,District,66,93
Michael Allen,M,10th,Lopez High School,District,77,65
Caroline Baker,F,9th,Lopez High School,District,71,66
Lori Griffith,F,10th,Lopez High School,District,93,65
Laura Buchanan,F,10th,Lopez High School,District,86,73
Joy Boyd,F,10th,Lopez High School,District,81,68
Henry Delacruz,M,9th,Lopez High School,District,61,88
Dr. James Stanton,M,9th,Lopez High School,District,93,84
Timothy Bush,M,12th,Lopez High School,District,71,76
Whitney Perez,F,12th,Lopez High School,District,71,76
Victor Anderson,M,11th,Lopez High School,District,70,81
Bobby Stewart,M,12th,Lopez High School,District,62,97
Claudia James,F,10th,Lopez High School,District,63,96
Lisa Cooper,F,10th,Lopez High School,District,89,65
Dale Watts,M,11th,Lopez High School,District,67,98
Gavin Smith,M,12th,Lopez High School,District,59,74
Eric Bailey,M,10th,Lopez High School,District,92,96
Jeffrey Ramos,M,11th,Lopez High School,District,89,97
Tiffany Howard,F,9th,Lopez High School,District,82,72
Charles Anderson,M,12th,Lopez High School,District,82,97
Kristen Cole,F,11th,Lopez High School,District,86,92
William Garrett,M,10th,Lopez High School,District,75,85
Chloe Lee,F,12th,Lopez High School,District,99,92
Jermaine Lewis,M,9th,Lopez High School,District,75,65
William Meyers,M,10th,Lopez High School,District,99,93
Joshua Brooks,M,12th,Lopez High School,District,90,88
Krista Bridges,F,9th,Lopez High School,District,71,74
Christopher Smith,M,9th,Lopez High School,District,55,83
Brandi Fischer MD,F,10th,Lopez High School,District,81,99
Sara Kelley,F,12th,Lopez High School,District,73,77
Steven Irwin,M,10th,Lopez High School,District,83,93
Katherine Baxter,F,9th,Lopez High School,District,87,87
Jose Lewis,M,10th,Lopez High School,District,93,91
James Schultz,M,12th,Lopez High School,District,73,92
Allison Brown,F,10th,Lopez High School,District,86,84
Allison Long,F,12th,Lopez High School,District,60,97
Rodney Fox,M,9th,Lopez High School,District,57,92
Brian Rodriguez,M,9th,Lopez High School,District,68,97
Jennifer Nguyen,F,9th,Lopez High School,District,94,92
Shari Miranda,F,9th,Lopez High School,District,68,78
Tonya Holland,F,12th,Lopez High School,District,74,71
Nathan Nelson MD,M,9th,Lopez High School,District,77,71
Jonathan Johnson,M,9th,Lopez High School,District,87,77
Travis Cain,M,9th,Lopez High School,District,77,85
Heather Williams,F,10th,Lopez High School,District,67,88
David Reed,M,11th,Lopez High School,District,89,93
Eric White,M,11th,Lopez High School,District,75,76
David Hendrix,M,9th,Lopez High School,District,73,84
Sara Morris,F,10th,Lopez High School,District,71,75
Kelly Roman,F,12th,Lopez High School,District,96,79
Corey Pierce,M,12th,Lopez High School,District,65,83
Tracy Barrera,F,9th,Lopez High School,District,83,98
Jacqueline Macdonald,F,10th,Lopez High School,District,81,88
Sarah Young,F,11th,Lopez High School,District,73,85
Lisa Atkins,F,11th,Lopez High School,District,77,90
Jason Lee,M,9th,Lopez High School,District,80,85
Thomas Santos,M,9th,Lopez High School,District,78,94
Abigail Thompson,F,9th,Lopez High School,District,71,98
Andrew Martin,M,9th,Lopez High School,District,68,97
James Gonzalez,M,9th,Lopez High School,District,99,65
Jason Hines,M,10th,Lopez High School,District,67,87
Stephen Larson,M,12th,Lopez High School,District,88,98
Joshua Sawyer,M,9th,Lopez High School,District,57,82
Christopher Dixon,M,12th,Lopez High School,District,62,95
Jennifer Kelly,F,9th,Lopez High School,District,92,80
Keith Miller,M,11th,Lopez High School,District,64,87
Jeremiah Bonilla,M,11th,Lopez High School,District,57,69
Natalie Smith,F,12th,Lopez High School,District,88,77
Paul Garcia,M,10th,Lopez High School,District,72,79
Jason Paul,M,9th,Lopez High School,District,70,65
Angela Cole,F,11th,Lopez High School,District,91,72
Karen James,F,9th,Lopez High School,District,81,92
Jesse Dyer,M,12th,Lopez High School,District,74,73
Gregory Franco,M,12th,Lopez High School,District,75,92
Michelle Shaw,F,9th,Lopez High School,District,97,81
Anita Parsons,F,12th,Lopez High School,District,60,81
Bailey Hamilton,F,9th,Lopez High School,District,79,90
Daniel Morgan,M,9th,Lopez High School,District,86,65
Rose Hancock,F,12th,Lopez High School,District,70,79
Ronald Norman,M,9th,Lopez High School,District,71,73
Angie Parsons,F,9th,Lopez High School,District,67,80
Kevin Arias,M,9th,Lopez High School,District,85,67
Joshua Williamson,M,9th,Lopez High School,District,56,94
Jennifer Perez,F,12th,Lopez High School,District,59,74
Russell Jones,M,10th,Lopez High School,District,85,88
Nicole Gilmore,F,10th,Lopez High School,District,74,82
Angela Trujillo,F,11th,Lopez High School,District,86,98
Brenda King,F,11th,Lopez High School,District,99,95
Megan Morales,F,9th,Lopez High School,District,57,80
Yolanda Alvarado,F,9th,Lopez High School,District,78,94
Sherry Avila,F,10th,Lopez High School,District,79,67
Jessica Williamson,F,11th,Lopez High School,District,92,75
Carl Smith,M,10th,Lopez High School,District,71,86
Amanda Smith,F,10th,Lopez High School,District,65,65
Yolanda Walker,F,10th,Lopez High School,District,92,72
Garrett Mathis,M,11th,Lopez High School,District,76,84
Denise Smith,F,9th,Lopez High School,District,90,71
Tina Maxwell,F,10th,Lopez High School,District,71,90
Caitlin Hancock,F,10th,Lopez High School,District,69,80
Brandon Castillo,M,9th,Lopez High School,District,65,88
Gabriel Bartlett,M,12th,Lopez High School,District,82,98
John Coleman,M,12th,Lopez High School,District,61,76
Sandra Caldwell,F,12th,Lopez High School,District,64,74
Mitchell Owens,M,11th,Lopez High School,District,63,67
Brady Melton,M,12th,Lopez High School,District,67,75
Anthony Nielsen,M,12th,Lopez High School,District,65,80
Shane Johnson,M,9th,Lopez High School,District,91,93
Elizabeth Stewart,F,9th,Lopez High School,District,65,79
Katelyn Mcdonald,F,10th,Lopez High School,District,62,76
Michael Ruiz,M,9th,Lopez High School,District,65,64
Henry Garcia,M,11th,Lopez High School,District,99,89
Robert Peterson,M,12th,Lopez High School,District,94,85
Tina Lloyd,F,11th,Lopez High School,District,59,82
Amy Baker,F,10th,Lopez High School,District,98,84
Michael Jones,M,10th,Lopez High School,District,98,66
Thomas Mckenzie,M,9th,Lopez High School,District,85,68
Tammy Bell,F,10th,Lopez High School,District,86,99
Pamela Scott,F,10th,Lopez High School,District,92,78
Denise Hays,F,11th,Lopez High School,District,59,70
Joan Smith,F,9th,Lopez High School,District,83,92
Kristen Payne,F,9th,Lopez High School,District,74,72
Franklin Maldonado,M,11th,Lopez High School,District,94,96
Leon Baker PhD,M,9th,Lopez High School,District,95,93
Dan Moore,M,12th,Lopez High School,District,67,86
Melissa Wong,F,12th,Lopez High School,District,84,71
Paul Wiley,M,9th,Lopez High School,District,57,90
Theresa Kidd,F,10th,Lopez High School,District,99,81
Jennifer Gomez,F,9th,Lopez High School,District,68,85
Lisa Hayes,F,11th,Lopez High School,District,97,84
Cristian Smith,M,9th,Lopez High School,District,98,90
Victor Vasquez,M,10th,Lopez High School,District,62,92
Bobby Smith,M,12th,Lopez High School,District,80,81
Jeanette Lopez,F,10th,Lopez High School,District,65,66
Larry Heath,M,11th,Lopez High School,District,94,85
Michael Lawson,M,12th,Lopez High School,District,64,87
Rodney Kim,M,10th,Lopez High School,District,83,89
Shannon Lee MD,F,12th,Lopez High School,District,85,83
Joshua Maxwell,M,11th,Lopez High School,District,97,98
Suzanne Patterson,F,10th,Lopez High School,District,90,96
Justin Williams,M,11th,Lopez High School,District,73,66
Kimberly Hutchinson,F,11th,Lopez High School,District,61,97
Diane Goodwin,F,11th,Lopez High School,District,63,80
Steven Lewis,M,10th,Lopez High School,District,73,94
David Briggs,M,12th,Lopez High School,District,81,94
Rick Small,M,10th,Lopez High School,District,65,98
Adam Carpenter,M,11th,Lopez High School,District,93,87
Gabriel Smith,M,12th,Lopez High School,District,62,87
Brianna Wise,F,12th,Lopez High School,District,70,99
Cassandra Soto,F,12th,Lopez High School,District,83,91
Leslie Burke,F,9th,Lopez High School,District,57,96
Phillip Black,M,11th,Lopez High School,District,56,82
Chris Vaughn,M,9th,Lopez High School,District,77,88
Brian Pearson,M,11th,Lopez High School,District,97,97
Susan Lopez,F,10th,Lopez High School,District,56,67
David Watkins,M,9th,Lopez High School,District,72,70
Tyrone Kent,M,12th,Lopez High School,District,88,86
Mary Perez,F,12th,Lopez High School,District,68,92
Ricky Berry,M,12th,Lopez High School,District,80,97
Victor Jackson Jr.,M,9th,Lopez High School,District,97,94
Samantha Hernandez,F,10th,Lopez High School,District,74,81
Sue Nichols,F,10th,Lopez High School,District,87,89
Andrew Quinn,M,9th,Lopez High School,District,64,67
Hunter Olsen,M,11th,Lopez High School,District,81,88
Shane Robinson,M,10th,Lopez High School,District,95,76
Christina Sanchez,F,11th,Lopez High School,District,64,76
Edward Harris,M,12th,Lopez High School,District,77,95
Amy Sutton,F,10th,Lopez High School,District,94,73
Brian Simmons,M,10th,Lopez High School,District,75,73
Tamara Johnson,F,11th,Lopez High School,District,69,95
Spencer Doyle,M,11th,Lopez High School,District,82,88
Kimberly Pacheco,F,11th,Lopez High School,District,81,99
Kimberly Ford,F,9th,Lopez High School,District,81,93
Holly Perez,F,9th,Lopez High School,District,80,64
Anthony Hodges,M,11th,Lopez High School,District,99,88
Robin Wright,F,11th,Lopez High School,District,90,84
Austin Roman,M,9th,Lopez High School,District,75,70
Matthew Scott,M,11th,Lopez High School,District,71,95
Nichole White,F,10th,Lopez High School,District,70,66
Kevin Wright,M,10th,Lopez High School,District,98,97
Melissa Wyatt,F,9th,Lopez High School,District,79,77
Alex Vance,M,10th,Lopez High School,District,90,86
Steven Kim,M,9th,Lopez High School,District,90,76
Heather Rodgers,F,11th,Lopez High School,District,68,88
Lauren Morton,F,12th,Lopez High School,District,60,72
Stephanie Jones,F,9th,Lopez High School,District,85,95
Thomas Kelly,M,10th,Lopez High School,District,85,98
Tony Murphy,M,11th,Lopez High School,District,63,92
Tina Williamson,F,10th,Lopez High School,District,58,76
Laura Nichols,F,11th,Lopez High School,District,65,83
Jason Bryant,M,10th,Lopez High School,District,68,76
Joseph Chapman,M,11th,Lopez High School,District,77,68
Anna Wheeler,F,9th,Lopez High School,District,79,86
Jeremy Smith,M,9th,Lopez High School,District,99,79
Andres Martinez,M,11th,Lopez High School,District,77,72
Gloria Harvey,F,10th,Lopez High School,District,97,89
John Long,M,9th,Lopez High School,District,92,80
Timothy Ramos,M,10th,Lopez High School,District,58,67
Pamela Johnson,F,11th,Lopez High School,District,77,81
Kristie Washington,F,10th,Lopez High School,District,57,79
Deborah Huerta,F,9th,Lopez High School,District,66,69
Mary Martin,F,11th,Lopez High School,District,73,97
Mrs. Debbie Williams,F,9th,Lopez High School,District,63,76
Danielle Taylor,F,12th,Lopez High School,District,84,91
Jaclyn Clayton,F,11th,Lopez High School,District,98,85
Richard Reynolds,M,12th,Lopez High School,District,82,84
Gregory Burgess,M,10th,Lopez High School,District,99,64
Dr. Andrea Mason DDS,F,12th,Lopez High School,District,82,97
Andrew Allen,M,11th,Lopez High School,District,77,76
Lauren Warner,F,10th,Lopez High School,District,82,95
Ashley Williams,F,10th,Lopez High School,District,58,69
Sabrina Parker,F,11th,Lopez High School,District,66,97
Michael Haney,M,11th,Lopez High School,District,62,72
Cynthia Fisher,F,9th,Lopez High School,District,97,86
Rachel Calderon,F,11th,Lopez High School,District,99,97
Keith Wallace,M,11th,Lopez High School,District,93,97
Sabrina Melton MD,F,11th,Lopez High School,District,72,83
Alexandra Black,F,12th,Lopez High School,District,93,85
Lisa Miller,F,9th,Lopez High School,District,79,82
Hayley Mcguire,F,10th,Lopez High School,District,98,88
Rhonda Walker,F,11th,Lopez High School,District,62,81
Alan Griffith,M,12th,Lopez High School,District,58,67
Tony Carr,M,11th,Lopez High School,District,77,99
Nicholas Howard,M,10th,Lopez High School,District,89,76
Edward Ayala,M,9th,Lopez High School,District,92,89
Michael Pitts,M,10th,Lopez High School,District,79,99
Eric Martin,M,10th,Lopez High School,District,61,90
Michael Gonzalez,M,10th,Lopez High School,District,88,92
Levi Olson,M,11th,Lopez High School,District,64,76
Wendy Weeks,F,11th,Lopez High School,District,74,80
Michael Goodwin,M,12th,Lopez High School,District,65,65
Jesse Chavez,M,11th,Lopez High School,District,97,96
Robert Hughes,M,11th,Lopez High School,District,99,86
Aaron Morrison,M,11th,Lopez High School,District,72,99
Melissa Martinez,F,12th,Lopez High School,District,58,64
Mark Baldwin,M,11th,Lopez High School,District,64,66
Charles Lang,M,10th,Lopez High School,District,91,74
Mr. Dwayne Hickman,M,9th,Lopez High School,District,61,88
Holly Thompson,F,9th,Lopez High School,District,94,85
Ashley Cox,F,12th,Lopez High School,District,84,79
Ebony Davis,F,10th,Lopez High School,District,82,95
Denise Haynes,F,10th,Lopez High School,District,74,99
Samuel Morales,M,10th,Lopez High School,District,82,91
Kelly Mclean,F,10th,Lopez High School,District,83,85
Johnny Sanchez,M,11th,Lopez High School,District,95,66
Bryan Rogers,M,12th,Lopez High School,District,89,67
Paul Jones,M,12th,Lopez High School,District,73,87
Brianna Miller,F,9th,Lopez High School,District,87,91
Kyle Gomez,M,9th,Lopez High School,District,75,77
Patricia Anderson,F,10th,Lopez High School,District,79,73
Alex Carter,M,12th,Lopez High School,District,89,71
Karen Davis,F,10th,Lopez High School,District,78,82
Joshua Rodriguez,M,11th,Lopez High School,District,61,71
Margaret Harrison,F,11th,Lopez High School,District,56,91
Derek Palmer,M,9th,Lopez High School,District,65,81
Emily Hurley,F,11th,Lopez High School,District,70,66
Craig Marsh,M,10th,Lopez High School,District,58,71
Alexandra Campbell,F,9th,Lopez High School,District,74,94
Linda Zuniga,F,12th,Lopez High School,District,71,70
Tracy Johnson,F,9th,Lopez High School,District,92,67
Kevin Brown,M,10th,Lopez High School,District,75,89
Paul Moore,M,10th,Lopez High School,District,97,67
Andrew Donaldson,M,12th,Lopez High School,District,62,78
Mary Long,F,11th,Lopez High School,District,82,76
